fsku,actual_t10,actual_t11,actual_t12,actual_t1,final_fc_t12,ma3_fc_t12,acc_final_t12,acc_ma3_t12,final_fc_t1,ma3_fc_t1,acc_final_t1,acc_ma3_t1,final_fc_t2,final_fc_t3
20.L1.6060.A16114,0.0,29.0,0,,16,18.0,,,9,10.0,,,10,8
20.L1.6060.A16405,1649.0,1292.0,1338,2089,1445,1488.0,92.0%,88.8%,1386,1426.0,66.3%,68.3%,1353,1360
20.L1.6060.A16901,1146.0,1765.0,3761,1725,1390,1242.0,37.0%,33.0%,2639,2224.0,47.0%,71.1%,2801,2944
20.L1.6060.A16902,2452.0,1676.0,2555,1456,1745,1847.0,68.3%,72.3%,2271,2228.0,44.0%,47.0%,2237,2311
20.L1.6060.A16903,183.0,272.0,361,66,261,263.0,72.3%,72.8%,66,272.0,100.0%,0.0%,43,109
20.L1.6060.A16904,1268.0,1110.0,2046,2185,1117,1095.0,54.6%,53.5%,1610,1475.0,73.7%,67.5%,1641,1713
20.L1.6060.A16905,305.0,667.0,375,256,483,421.0,71.2%,87.6%,449,449.0,24.6%,24.6%,470,445
20.L1.6060.A16906,436.0,1345.0,1273,953,890,739.0,69.9%,58.0%,1127,1018.0,81.7%,93.2%,1214,1200
20.L1.6060.A16910,3011.0,2814.0,2565,1774,3100,3339.0,79.1%,69.8%,2729,2797.0,46.2%,42.4%,2697,2680
20.L1.6060.A16911,2091.0,518.0,2786,1795,1090,1167.0,39.1%,41.9%,1967,1798.0,90.4%,99.8%,1923,2109
20.L1.6060.A16912,347.0,1343.0,2980,1151,1000,838.0,33.6%,28.1%,1962,1557.0,29.5%,64.8%,2144,2257
20.L1.6060.A16913,1174.0,1139.0,2023,2013,1333,1457.0,65.9%,72.0%,1588,1445.0,78.9%,71.8%,1629,1696
20.L1.6060.A16914,3631.0,2494.0,4159,2217,2982,3118.0,71.7%,75.0%,3554,3428.0,39.7%,45.4%,3524,3660
20.L1.6060.A16915,642.0,827.0,3173,3765,808,826.0,25.5%,26.0%,1963,1547.0,52.1%,41.1%,2099,2273
20.L1.6060.A26006,290.0,195.0,0,136,242,298.0,,,116,162.0,85.3%,81.1%,97,83
20.L1.6060.A26107,282.0,22.0,40,56,101,110.0,0.0%,0.0%,83,115.0,51.8%,0.0%,58,62
20.L1.6060.A26112,4240.0,3007.0,4504,5217,3436,3516.0,76.3%,78.1%,4002,3917.0,76.7%,75.1%,3954,4078
20.L1.6060.A26172,1505.0,2133.0,5381,2325,1784,1657.0,33.2%,30.8%,3631,3006.0,43.8%,70.7%,3856,4094
20.L1.6060.A26901,842.0,941.0,691,1565,735,614.0,93.6%,88.8%,796,825.0,50.9%,52.7%,794,774
20.L1.6060.A26903,316.0,441.0,25,17,500,560.0,0.0%,0.0%,17,261.0,100.0%,0.0%,12,25
20.L1.6060.A26904,869.0,250.0,2108,624,666,797.0,31.6%,37.8%,1303,1076.0,0.0%,27.6%,1334,1480
20.L1.6060.A26905,1506.0,3027.0,1520,1411,2194,1892.0,55.7%,75.5%,1969,2018.0,60.5%,57.0%,2046,1918
20.L1.6060.A26913,2230.0,2996.0,4449,4749,2617,2492.0,58.8%,56.0%,3569,3225.0,75.2%,67.9%,3718,3820
20.L1.6060.A26914,1943.0,2183.0,1809,1731,1755,1879.0,97.0%,96.1%,1948,1978.0,87.5%,85.7%,1953,1923
20.L1.6060.A26915,4130.0,3472.0,6194,2485,3597,3570.0,58.1%,57.6%,4965,4599.0,0.2%,14.9%,5035,5246
20.L1.6060.A26916,2206.0,1263.0,2038,1681,1475,1460.0,72.4%,71.6%,1839,1836.0,90.6%,90.8%,1784,1851
20.L1.6060.A26917,2546.0,2187.0,3822,3671,2452,2569.0,64.2%,67.2%,3076,2852.0,83.8%,77.7%,3122,3248
20.L1.6060.A26918,5637.0,1952.0,4255,2876,3242,3470.0,76.2%,81.6%,3840,3948.0,66.5%,62.7%,3587,3796
20.L1.6060.A36003,339.0,416.0,589,2718,252,282.0,42.8%,47.9%,2718,448.0,100.0%,16.5%,1767,2990
20.L1.6060.A36004,36.0,62.0,0,10,150,283.0,,,26,33.0,0.0%,0.0%,25,20
20.L1.6060.A36005,3562.0,470.0,2499,1310,2100,2494.0,84.0%,99.8%,2103,2177.0,39.5%,33.8%,1895,2078
20.L1.6060.A36006,3.0,117.0,255,440,138,172.0,54.1%,67.3%,163,125.0,37.0%,28.4%,181,190
20.L1.6060.A36902,1715.0,1704.0,1583,1244,1693,1684.0,93.1%,93.6%,1646,1667.0,67.7%,66.0%,1639,1630
20.L1.6060.A36903,230.0,587.0,65,,404,342.0,0.0%,0.0%,0,294.0,,,0,660
20.L1.6060.A36904,33.0,264.0,98,199,142,99.0,55.1%,99.0%,135,132.0,67.8%,66.2%,150,135
20.L1.6060.A36915,1075.0,1546.0,605,1572,935,975.0,45.5%,38.9%,981,1075.0,62.4%,68.4%,981,906
20.L1.6060.A36916,872.0,1370.0,1463,1369,1089,984.0,74.4%,67.3%,1317,1235.0,96.2%,90.2%,1371,1373
20.L1.6060.A36917,1569.0,1229.0,1217,1986,1250,1337.0,97.3%,90.1%,1291,1338.0,65.0%,67.4%,1256,1259
20.L1.6060.A36918,1166.0,923.0,1181,2588,986,987.0,83.5%,83.6%,1101,1090.0,42.5%,42.1%,1089,1111
20.L1.6060.A36919,254.0,131.0,607,290,318,422.0,52.4%,69.6%,394,331.0,64.1%,86.0%,405,442
20.L1.6060.A36920,811.0,2378.0,2999,1581,1623,1381.0,54.1%,46.0%,2375,2063.0,49.8%,69.5%,2563,2594
20.L1.6060.A66101,567.0,900.0,1593,1600,1097,1284.0,68.9%,80.6%,1180,1020.0,73.8%,63.7%,1248,1297
20.L1.6060.A66102,1380.0,476.0,2225,1573,1620,1001.0,72.8%,45.0%,789,1360.0,50.2%,86.5%,510,1114
20.L1.6060.A66103,1531.0,1342.0,2870,2691,1467,1519.0,51.1%,52.9%,2144,1914.0,79.7%,71.1%,2201,2318
20.L1.6060.A66104,294.0,1325.0,2109,1179,1989,956.0,94.3%,45.3%,1056,1243.0,89.6%,94.6%,683,1491
20.L1.6060.A66105,1521.0,1957.0,1621,2479,2033,2157.0,74.6%,67.0%,1702,1700.0,68.7%,68.6%,1729,1699
20.L1.6060.A66106,2039.0,1234.0,2358,2659,1338,1272.0,56.7%,54.0%,1957,1877.0,73.6%,70.6%,1933,2025
20.L1.6060.A86301,478.0,209.0,127,309,402,423.0,0.0%,0.0%,231,271.0,74.8%,87.8%,149,326
20.L1.6060.A89601,1695.0,1221.0,2334,1720,1374,1397.0,58.9%,59.9%,1872,1750.0,91.2%,98.3%,1880,1968
20.L1.6060.A89602,2299.0,2128.0,1950,2683,1853,1642.0,95.0%,84.2%,2073,2126.0,77.3%,79.2%,2047,2035
20.L1.6060.A89603,1122.0,1651.0,2418,1743,1373,1276.0,56.8%,52.8%,1929,1730.0,89.3%,99.3%,2020,2072
20.L1.6060.A89604,2531.0,3511.0,3397,6795,2824,2529.0,83.1%,74.4%,3258,3146.0,47.9%,46.3%,3350,3332
20.L1.6060.A89605,2751.0,1315.0,1621,1605,1751,1802.0,92.0%,88.9%,1755,1896.0,90.7%,81.9%,1627,1664
20.L1.6060.A89606,3212.0,2163.0,3279,2117,2152,1970.0,65.6%,60.1%,2931,2885.0,61.5%,63.7%,2882,2976
20.L1.6060.A89607,1564.0,1419.0,2802,1064,1344,1271.0,48.0%,45.3%,2140,1928.0,0.0%,18.8%,2194,2299
20.L1.6060.A89651,364.0,668.0,1313,780,689,754.0,52.5%,57.4%,930,782.0,80.8%,99.8%,992,1038
20.L1.6060.A89652,491.0,0.0,66,554,150,169.0,0.0%,0.0%,131,186.0,23.6%,33.5%,85,95
20.L1.6060.A89653,159.0,0.0,941,622,658,156.0,69.9%,16.6%,68,367.0,10.9%,58.9%,44,95
20.L1.6060.A89654,226.0,265.0,176,192,275,288.0,43.8%,36.6%,213,222.0,89.1%,84.2%,212,205
20.L1.6060.A89655,515.0,489.0,246,381,390,465.0,41.5%,11.0%,354,417.0,92.9%,90.6%,229,500
20.L1.6060.A89656,679.0,407.0,177,375,658,780.0,0.0%,0.0%,346,421.0,92.3%,87.7%,308,293
20.L1.6060.A89657,269.0,315.0,353,425,242,200.0,68.6%,56.8%,325,312.0,76.5%,73.5%,331,334
20.L1.6060.A89658,185.0,193.0,769,353,380,507.0,49.4%,65.9%,479,382.0,64.3%,91.7%,509,552
20.L1.6060.A91661,5129.0,5140.0,7462,8283,5297,5403.0,71.0%,72.4%,6299,5910.0,76.0%,71.4%,6416,6590
20.L1.6060.A91662,6007.0,11400.0,22859,12745,22900,7617.0,99.8%,33.3%,16051,13422.0,74.1%,94.7%,17163,17969
20.L1.8080.18117,7.0,66.0,75,162,56,31.0,74.7%,41.8%,59,49.0,36.4%,30.5%,65,65
20.L1.8080.18125,0.0,16.0,0,,16,5.0,,,5,5.0,,,6,4
20.L1.8080.18126,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
20.L1.8080.18127,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
20.L1.8080.18128,300.0,110.0,0,,110,137.0,,,93,137.0,,,68,62
20.L1.8080.18129,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
20.L1.8080.18901,1229.0,1013.0,1598,846,995,948.0,62.3%,59.3%,1349,1280.0,40.5%,48.7%,1356,1402
20.L1.8080.18902,269.0,412.0,379,1122,276,238.0,72.8%,62.8%,1122,353.0,100.0%,31.5%,729,1234
20.L1.8080.18903,281.0,433.0,269,223,360,413.0,66.2%,46.3%,321,328.0,56.1%,53.1%,328,314
20.L1.8080.18904,137.0,6.0,484,766,140,175.0,28.9%,36.2%,271,209.0,35.4%,27.3%,282,319
20.L1.8080.18905,20.0,37.0,38,70,30,27.0,78.9%,71.9%,34,32.0,48.6%,45.2%,36,36
20.L1.8080.18906,81.0,181.0,668,976,125,104.0,18.7%,15.6%,976,310.0,100.0%,31.8%,804,842
20.L1.8080.18910,1060.0,1740.0,102,,1286,1241.0,0.0%,0.0%,0,967.0,,,0,15
20.L1.8080.18911,785.0,1494.0,935,1199,909,973.0,97.2%,95.9%,1073,1071.0,89.5%,89.4%,1116,1067
20.L1.8080.18912,761.0,1001.0,1084,771,1029,1088.0,94.9%,99.7%,994,949.0,71.1%,77.0%,1022,1026
20.L1.8080.18913,708.0,432.0,588,249,567,612.0,96.4%,96.0%,565,576.0,0.0%,0.0%,545,560
20.L1.8080.18914,613.0,429.0,973,1089,950,1017.0,97.6%,95.4%,738,672.0,67.8%,61.7%,747,790
20.L1.8080.18915,647.0,816.0,773,816,834,874.0,92.1%,86.9%,761,745.0,93.3%,91.3%,776,771
20.L1.8080.28101,219.0,180.0,21,191,278,239.0,0.0%,0.0%,108,140.0,56.5%,73.3%,96,85
20.L1.8080.28107,23.0,20.0,2,,118,54.0,0.0%,0.0%,12,15.0,,,11,10
20.L1.8080.28901,366.0,200.0,4,,486,520.0,0.0%,0.0%,0,190.0,,,0,1
20.L1.8080.28902,0.0,0.0,0,,0,59.0,,,0,0.0,,,0,0
20.L1.8080.28903,349.0,864.0,1220,128,750,667.0,61.5%,54.7%,128,811.0,100.0%,0.0%,83,128
20.L1.8080.28904,230.0,60.0,814,322,130,140.0,16.0%,17.2%,471,368.0,53.7%,85.7%,492,550
20.L1.8080.28905,573.0,844.0,377,740,609,615.0,38.5%,36.9%,556,598.0,75.1%,80.8%,560,522
20.L1.8080.28906,8.0,14.0,54,,8,7.0,14.8%,13.6%,33,25.0,,,36,39
20.L1.8080.28913,4468.0,1125.0,2331,2050,2417,2381.0,96.3%,97.8%,2397,2641.0,83.1%,71.2%,2123,2247
20.L1.8080.28914,1374.0,359.0,1866,552,736,817.0,39.4%,43.8%,1316,1200.0,0.0%,0.0%,1290,1413
20.L1.8080.28915,945.0,416.0,2014,3135,769,917.0,38.2%,45.5%,1321,1125.0,42.1%,35.9%,1348,1473
20.L1.8080.28916,1283.0,634.0,1141,885,993,1124.0,87.0%,98.5%,1017,1019.0,85.1%,84.8%,978,1022
20.L1.8080.28917,1508.0,1005.0,3982,4226,1167,1191.0,29.3%,29.9%,2594,2165.0,61.4%,51.2%,2693,2921
20.L1.8080.28918,1720.0,977.0,1141,2171,1160,1157.0,98.3%,98.6%,1208,1279.0,55.6%,58.9%,1142,1162
20.L1.8080.38002,1048.0,1222.0,16,383,1034,938.0,0.0%,0.0%,584,762.0,47.5%,1.0%,541,449
20.L1.8080.38003,503.0,790.0,2092,1412,855,946.0,40.9%,45.2%,1384,1128.0,98.0%,79.9%,1478,1573
20.L1.8080.38006,172.0,325.0,0,172,260,166.0,,,132,166.0,76.7%,96.3%,131,105
20.L1.8080.38901,889.0,869.0,485,174,808,763.0,33.4%,42.6%,681,748.0,0.0%,0.0%,660,631
20.L1.8080.38902,1037.0,200.0,653,820,710,532.0,91.3%,81.5%,594,630.0,72.4%,76.8%,533,575
20.L1.8080.38904,283.0,130.0,392,318,172,184.0,43.9%,46.9%,292,268.0,91.8%,84.4%,290,311
20.L1.8080.38905,329.0,407.0,794,755,739,560.0,93.1%,70.5%,585,510.0,77.5%,67.5%,612,640
20.L1.8080.38906,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
20.L1.8080.38907,15.0,157.0,58,17,157,174.0,0.0%,0.0%,79,77.0,0.0%,0.0%,88,79
20.L1.8080.38915,117.0,450.0,433,506,678,885.0,43.4%,0.0%,375,333.0,74.1%,65.9%,407,403
20.L1.8080.38916,0.0,0.0,0,195,0,0.0,,,0,0.0,0.0%,0.0%,0,0
20.L1.8080.38917,830.0,18.0,189,1409,592,518.0,0.0%,0.0%,266,346.0,18.9%,24.5%,193,214
20.L1.8080.38918,719.0,630.0,774,1329,622,601.0,80.4%,77.7%,720,708.0,54.2%,53.2%,718,730
20.L1.8080.38919,560.0,336.0,117,427,376,365.0,0.0%,0.0%,271,338.0,63.5%,79.1%,238,224
20.L1.8080.38920,2250.0,1275.0,3613,2459,1528,1534.0,42.3%,42.5%,2639,2379.0,92.7%,96.8%,2658,2843
20.L1.8080.68101,1590.0,637.0,1010,1089,989,1065.0,97.9%,94.6%,1014,1079.0,93.1%,99.1%,937,975
20.L1.8080.68102,669.0,805.0,1432,1008,855,911.0,59.7%,63.6%,1091,969.0,91.8%,96.1%,1136,1182
20.L1.8080.68103,450.0,333.0,477,1458,475,550.0,99.6%,84.8%,428,420.0,29.4%,28.8%,424,436
20.L1.8080.68104,1254.0,2253.0,2018,1782,1882,1802.0,93.3%,89.3%,1936,1842.0,91.4%,96.7%,2024,1996
20.L1.8080.68105,624.0,724.0,1704,862,718,730.0,42.1%,42.8%,1194,1017.0,61.5%,82.0%,1253,1326
20.L1.8080.68106,468.0,270.0,335,244,522,656.0,44.2%,4.1%,342,358.0,59.8%,53.4%,326,333
20.L1.8080.89801,1711.0,2284.0,4475,1369,2047,1984.0,45.7%,44.3%,3265,2823.0,0.0%,0.0%,3432,3590
20.L1.8080.89802,1156.0,604.0,870,1601,879,970.0,99.0%,88.5%,847,877.0,52.9%,54.8%,805,831
20.L1.8080.89803,364.0,424.0,737,817,779,314.0,94.3%,42.7%,432,508.0,52.9%,62.2%,280,610
20.L1.8080.89804,587.0,993.0,3837,2038,1525,1123.0,39.7%,29.3%,672,1806.0,33.0%,88.6%,435,948
20.L1.8080.89805,2453.0,996.0,4341,1628,1398,1422.0,32.2%,32.8%,2960,2597.0,18.2%,40.5%,2982,3247
20.L1.8080.89806,609.0,1023.0,1382,1434,879,851.0,63.6%,61.6%,1120,1005.0,78.1%,70.1%,1179,1202
20.L1.8080.89807,2106.0,1972.0,3114,1773,1977,1958.0,63.5%,62.9%,2570,2397.0,55.0%,64.8%,2614,2701
20.L1.8080.89851,93.0,249.0,423,,419,558.0,99.1%,68.1%,0,255.0,,,0,212
20.L1.8080.89852,102.0,69.0,0,,152,201.0,,,41,57.0,,,34,29
20.L1.8080.89853,255.0,203.0,405,762,408,536.0,99.3%,67.6%,314,288.0,41.2%,37.8%,319,335
20.L1.8080.89854,439.0,39.0,717,22,658,354.0,91.8%,49.3%,22,398.0,100.0%,0.0%,14,358
20.L1.8080.89855,432.0,546.0,425,422,542,559.0,72.5%,68.5%,463,468.0,90.3%,89.2%,468,458
20.L1.8080.89856,370.0,174.0,780,,527,730.0,67.6%,93.6%,0,441.0,,,0,390
20.L1.8080.89857,161.0,169.0,0,,164,163.0,,,0,110.0,,,0,0
20.L1.8080.89858,202.0,181.0,0,159,180,176.0,,,95,128.0,59.7%,80.3%,84,70
20.L1.8080.91851,1263.0,879.0,990,914,950,1228.0,96.0%,76.0%,1011,1044.0,89.4%,85.8%,978,990
20.L1.8080.91852,520.0,769.0,1019,1148,606,539.0,59.5%,52.9%,844,769.0,73.5%,67.0%,882,898
20.L1.8080.91853,1661.0,794.0,1066,643,1169,1295.0,90.3%,78.5%,1103,1174.0,28.5%,17.5%,1030,1059
20.L1.8080.91854,1109.0,774.0,595,1289,891,1023.0,50.3%,28.0%,752,826.0,58.3%,64.1%,709,699
20.L1.8080.91855,952.0,1941.0,2528,1453,1700,1682.0,67.2%,66.5%,2037,1807.0,59.8%,75.6%,2165,2199
20.L1.8080.91856,1875.0,822.0,2324,2326,1126,1153.0,48.5%,49.6%,1784,1674.0,76.7%,72.0%,1754,1877
20.L1.8080.91857,647.0,700.0,1456,653,668,655.0,45.9%,45.0%,1067,934.0,36.6%,56.9%,1110,1166
20.L1.8080.91858,2945.0,3185.0,3331,1900,2856,2676.0,85.7%,80.3%,3210,3154.0,31.1%,34.0%,3241,3250
20.L1.8080.91859,373.0,82.0,1494,1447,802,1234.0,53.7%,82.6%,846,650.0,58.5%,44.9%,888,997
20.L1.8080.91860,1080.0,708.0,836,550,820,955.0,98.1%,85.8%,846,875.0,46.2%,41.0%,815,828
20.L1.8080.91861,8205.0,6360.0,7252,4944,7394,7776.0,98.0%,92.8%,7175,7272.0,54.9%,52.9%,7035,7120
20.L1.8080.91862,3288.0,3886.0,4797,5651,3631,3560.0,75.7%,74.2%,4222,3990.0,74.7%,70.6%,4327,4390
25.L1.3060.FP3607,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
25.L1.3060.FP936601,686.0,1484.0,1321,648,948,723.0,71.8%,54.8%,1243,1164.0,8.2%,20.4%,1315,1295
25.L1.3060.FP936601D,40.0,5.0,56,147,27,15.0,48.2%,26.8%,147,34.0,100.0%,22.9%,106,113
25.L1.3060.FP936601V,0.0,80.0,213,,56,27.0,26.3%,12.5%,83,98.0,,,54,117
25.L1.3060.FP936602,807.0,2108.0,1134,3910,1200,1254.0,94.2%,89.4%,1361,1350.0,34.8%,34.5%,1442,1356
25.L1.3060.FP936602D,52.0,0.0,0,,16,18.0,,,0,17.0,,,0,0
25.L1.3060.FP936602V,180.0,15.0,136,318,80,72.0,58.8%,52.7%,108,110.0,34.0%,34.7%,98,109
25.L1.3060.FP936604,1634.0,7844.0,7816,5316,4747,3717.0,60.7%,47.6%,6588,5765.0,76.1%,91.6%,7208,7144
25.L1.3060.FP936604D,206.0,753.0,837,675,612,454.0,73.1%,54.2%,686,599.0,98.4%,88.7%,745,746
25.L1.3060.FP936605,1116.0,4695.0,5395,3129,2949,2382.0,54.7%,44.2%,4329,3735.0,61.6%,80.6%,4722,4739
25.L1.3060.FP936606,924.0,3105.0,5215,2111,2950,2326.0,56.6%,44.6%,2619,3081.0,75.9%,54.0%,1695,3698
25.L1.3060.FP936606D,177.0,577.0,772,177,378,312.0,49.0%,40.4%,594,509.0,0.0%,0.0%,644,655
25.L1.3060.FP936607,575.0,1550.0,2763,1693,1241,1197.0,44.9%,43.3%,1962,1629.0,84.1%,96.2%,2120,2201
25.L1.3060.FP936608,1196.0,198.0,1189,1857,1072,1489.0,90.2%,74.8%,893,861.0,48.1%,46.4%,843,927
25.L1.3060.FP936608D,0.0,0.0,2,103,0,4.0,0.0%,0.0%,103,1.0,100.0%,0.6%,67,113
25.L1.3060.FP936608V,129.0,45.0,171,24,142,193.0,83.0%,87.3%,125,115.0,0.0%,0.0%,123,133
25.L1.3060.FP936609,2788.0,1381.0,2321,3334,2050,2196.0,88.3%,94.6%,2132,2163.0,63.9%,64.9%,2038,2123
25.L1.3060.FP936609D,30.0,0.0,2,12,2,10.0,100.0%,0.0%,7,11.0,58.3%,88.9%,4,4
25.L1.3060.FP936609V,479.0,165.0,79,180,79,314.0,100.0%,0.0%,185,241.0,97.2%,66.1%,149,146
25.L1.3060.FP936610,509.0,652.0,4004,2763,708,770.0,17.7%,19.2%,2299,1722.0,83.2%,62.3%,2481,2731
25.L1.3060.FP936610D,41.0,91.0,314,434,80,82.0,25.5%,26.0%,434,149.0,100.0%,34.3%,364,380
25.L1.3060.FP936611,2696.0,1508.0,2202,2409,1674,1587.0,76.0%,72.1%,2093,2135.0,86.9%,88.6%,2009,2073
25.L1.3060.FP936612,4316.0,5000.0,7387,4377,4500,4155.0,60.9%,56.3%,6057,5568.0,61.6%,72.8%,6245,6417
25.L1.3060.FP936612D,239.0,598.0,1334,622,424,369.0,31.8%,27.6%,894,724.0,56.3%,83.7%,967,1018
25.L1.3060.FP936613,1625.0,4013.0,4949,1925,2960,2656.0,59.8%,53.7%,4003,3529.0,0.0%,16.7%,4289,4335
25.L1.4080.FP948601,1480.0,5002.0,3509,476,2971,2204.0,84.7%,62.8%,476,3330.0,100.0%,0.0%,309,1754
25.L1.4080.FP948601D,10.0,132.0,8,66,69,47.0,0.0%,0.0%,46,50.0,69.7%,75.8%,52,41
25.L1.4080.FP948601V,110.0,354.0,319,,223,176.0,69.9%,55.3%,0,261.0,,,0,0
25.L1.4080.FP948602,2350.0,4856.0,5837,1552,3740,3413.0,64.1%,58.5%,4845,4348.0,0.0%,0.0%,5145,5193
25.L1.4080.FP948602D,73.0,1.0,20,,33,42.0,35.0%,0.0%,25,31.0,,,19,21
25.L1.4080.FP948602V,191.0,274.0,211,280,232,218.0,90.0%,96.5%,226,225.0,80.7%,80.5%,231,226
25.L1.4080.FP948603,5627.0,6607.0,6868,5161,6363,6364.0,92.6%,92.7%,6542,6367.0,73.2%,76.6%,6653,6663
25.L1.4080.FP948603D,5.0,265.0,260,191,161,135.0,61.9%,51.8%,210,177.0,90.1%,92.5%,236,233
25.L1.4080.FP948603V,460.0,263.0,583,223,329,340.0,56.4%,58.4%,462,435.0,0.0%,4.8%,458,484
25.L1.4080.FP948604,3068.0,5581.0,4055,1522,6380,7331.0,42.7%,19.2%,4315,4235.0,0.0%,0.0%,4490,4350
25.L1.4080.FP948604D,56.0,22.0,88,,108,159.0,77.3%,18.9%,62,55.0,,,62,67
25.L1.4080.FP948604V,346.0,406.0,752,118,444,479.0,59.0%,63.7%,567,501.0,0.0%,0.0%,590,616
25.L1.6060.FP6604,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
25.L1.6060.FP96600,581.0,321.0,558,474,360,342.0,64.5%,61.4%,492,487.0,96.2%,97.3%,478,498
25.L1.6060.FP96601,3395.0,4856.0,445,364,3896,3500.0,0.0%,0.0%,364,2899.0,100.0%,0.0%,222,485
25.L1.6060.FP96604,2884.0,880.0,100,542,1692,1899.0,0.0%,0.0%,891,1288.0,35.6%,0.0%,652,613
25.L1.6060.FP96606,1697.0,414.0,8,231,906,1020.0,0.0%,0.0%,468,706.0,0.0%,0.0%,319,302
25.L1.6060.FP96607,127.0,0.0,19,2,38,42.0,0.0%,0.0%,35,49.0,0.0%,0.0%,23,26
25.L1.6060.FP96608,273.0,75.0,234,246,423,622.0,19.2%,0.0%,194,194.0,78.9%,78.9%,182,196
25.L1.6060.FP966602,1330.0,2412.0,633,770,1936,1799.0,0.0%,0.0%,1306,1458.0,30.4%,10.6%,1325,1181
25.L1.6060.FP966605,336.0,82.0,625,1174,516,763.0,82.6%,77.9%,404,348.0,34.4%,29.6%,406,449
25.L1.6060.FP96666,205.0,367.0,653,558,429,497.0,65.7%,76.1%,478,408.0,85.7%,73.2%,508,528
25.L1.6060.FPH966001,2622.0,1003.0,336,815,1598,1724.0,0.0%,0.0%,993,1320.0,78.2%,38.0%,798,764
25.L1.6060.FPU6006,84.0,0.0,0,,46,96.0,,,0,28.0,,,0,0
25.L1.6060.FPU6007,44.0,0.0,0,,38,56.0,,,0,15.0,,,0,0
25.L1.6060.FPU6010,550.0,0.0,8,,165,183.0,0.0%,0.0%,0,186.0,,,0,1040
25.L1.6060.FPU6014,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
25.L1.6060.FPU6016,280.0,4.0,271,485,125,160.0,46.1%,59.0%,193,185.0,39.8%,38.1%,179,202
25.L1.6060.FPU6017,164.0,296.0,120,210,215,227.0,20.8%,11.1%,164,193.0,78.1%,92.1%,106,232
25.L1.6060.FPU6018,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
25.L1.6060.FPU966001,625.0,2030.0,401,696,1311,1065.0,0.0%,0.0%,934,1019.0,65.8%,53.6%,993,857
25.L1.6060.FPU966002,226.0,12.0,0,,185,265.0,,,0,79.0,,,0,0
25.L1.6060.FPU966003,839.0,0.0,2407,3705,2775,608.0,84.7%,25.3%,357,1082.0,9.6%,29.2%,231,503
25.L1.6060.FPU966005,1188.0,1280.0,777,1054,1627,1874.0,0.0%,0.0%,1010,1082.0,95.8%,97.4%,994,955
25.L1.6060.FPU966009,410.0,368.0,963,738,741,317.0,76.9%,32.9%,331,580.0,44.9%,78.6%,214,467
25.L1.6060.FPU966013,1318.0,80.0,288,912,519,605.0,19.8%,0.0%,432,562.0,47.4%,61.6%,318,346
25.L1.8080.FP18600,546.0,1087.0,323,345,746,609.0,0.0%,11.6%,597,652.0,27.0%,11.0%,613,550
25.L1.8080.FP18601,624.0,25.0,195,211,695,1041.0,0.0%,0.0%,211,281.0,100.0%,66.7%,112,508
25.L1.8080.FP18604,900.0,0.0,588,396,363,455.0,61.7%,77.4%,474,496.0,80.3%,74.7%,413,466
25.L1.8080.FP18606,480.0,16.0,0,26,338,475.0,,,26,165.0,100.0%,0.0%,7,26
25.L1.8080.FP18607,960.0,1020.0,297,2,971,948.0,0.0%,0.0%,2,759.0,100.0%,0.0%,1,148
25.L1.8080.FP18608,0.0,0.0,141,425,0,1.0,0.0%,0.7%,70,47.0,16.5%,11.1%,77,88
25.L1.8080.FP18666,207.0,91.0,54,104,117,99.0,0.0%,16.0%,96,117.0,92.3%,87.2%,82,81
25.L1.8080.FPU188003,707.0,651.0,1466,1689,935,1115.0,63.8%,76.0%,1070,941.0,63.4%,55.7%,1105,1167
25.L1.8080.FPU188005,452.0,635.0,438,107,510,456.0,83.6%,95.8%,107,508.0,100.0%,0.0%,70,219
25.L1.8080.FPU188011,0.0,107.0,0,,68,50.0,,,32,36.0,,,37,28
25.L1.8080.FPU188013,514.0,183.0,226,245,246,232.0,91.2%,97.2%,271,308.0,89.4%,74.4%,240,246
25.L1.8080.FPU188017,21.0,114.0,532,5,124,147.0,23.3%,27.6%,304,222.0,0.0%,0.0%,334,365
25.L1.8080.FPU188033,308.0,405.0,35,1657,301,248.0,0.0%,0.0%,201,249.0,12.1%,15.0%,192,163
25.L1.8080.FPU188035,768.0,1836.0,183,170,1390,1271.0,0.0%,0.0%,170,929.0,100.0%,0.0%,97,212
25.L2.6060.FP96666,0.0,0.0,1760,,1345,0.0,76.4%,0.0%,0,587.0,,,0,176
25.L2.8080.FP18666,762.0,0.0,0,,229,254.0,,,0,254.0,,,0,0
27.L1.6060.DIC6617,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
27.L1.6060.SV6004,0.0,0.0,0,222,0,0.0,,,0,0.0,0.0%,0.0%,0,0
29.L1.1580.FP15801,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
